question,ground_truth,answer,contexts
What types of accounts can an individual open in a Bangladeshi bank?,"Individuals can open savings accounts, current accounts, fixed deposit accounts, and
DPS (Deposit Pension Scheme) accounts.","Based on the provided context, an individual can open the following types of accounts in a Bangladeshi bank:

1. Savings Account: This is a basic account that allows individuals to deposit and withdraw money.
2. Current Account: This type of account provides more flexibility than a savings account, allowing for more frequent withdrawals and deposits.
3. Term Deposit Account: This account offers a fixed interest rate for a specific period of time, usually ranging from a few months to several years.
4. Fixed Deposit Account: Similar to a term deposit account, this type of account provides a fixed interest rate for a specific period of time.
5. Recurring Deposit Account: This account allows individuals to make regular deposits on a monthly basis, with the interest earned on the deposited amount.
6. Joint Account: An individual can also open a joint account with one or more co-owners, allowing them to manage the account together.
7. Minor Account: A special type of account designed for minors, which allows parents or legal guardians to manage the account on behalf of their child until they reach the age of majority.
8. NRE Account: Non-Resident Indians (NRIs) can open this type of account to deposit and manage their foreign currency earnings in India.
9. FCNR Account: This account is designed for NRIs, allowing them to deposit and manage their foreign currency earnings in India.
10. Kisan Account: This account is specifically designed for farmers, allowing them to deposit and manage their agricultural income.

Please note that the availability of these account types may vary depending on the bank or financial institution.","['. required documents   passport size photograph -2 copies of account holder, 1 copy of nominee   valid bangladeshi passport (information page)   psr or proof of submission of return   tax return of previous financial year mandatory for balance equivalent to bdt 10 lacs or more   nominee photo id   nid /birth certificate/passport'
 'account as a part of afforestation activity   funds available in the accounts will be invested in sustainable projects as per bangladesh bank taxonomy   cheque-book facility   opportunity to apply for safe deposit locker facility   debit card for easy cash withdrawal city maxx card for easy shopping   cash back facility on spending']"
"What documents are typically required to open a savings account in
Bangladesh?","NID or passport, passport-sized photos, proof of address, and completed KYC form.","The required documents to open a savings account in Bangladesh are:

* Passport size photograph - 2 copies of the account holder, and 1 copy of the nominee
* Valid Bangladeshi passport (information page)
* PSR or proof of submission of return
* Tax return of previous financial year (mandatory for balance equivalent to BDT 10 lacs or more)
* Nominee's photo ID
* NID/Birth Certificate/Passport

Please note that the above list may not be exhaustive and is subject to change. It's always best to check with the bank or financial institution for the most up-to-date requirements.","['. required documents   passport size photograph -2 copies of account holder, 1 copy of nominee   valid bangladeshi passport (information page)   psr or proof of submission of return   tax return of previous financial year mandatory for balance equivalent to bdt 10 lacs or more   nominee photo id   nid /birth certificate/passport'
 '. what are the required documents to open an rfcd account? ans: the required documents are:   passport size photograph -2 copies of account holder, 1 copy of nominee   valid bangladeshi passport (information page)   psr or proof of submission of return   tax return of previous financial year mandatory for balance equivalent to bdt 10']"
Can a student open a bank account in Bangladesh?,"Yes, many banks offer student accounts with lower minimum balance requirements.","Based on the provided context, it appears that Bangladeshi passport holders who are students can apply for a City Bank student file. The key features of this service include same-day processing, faster and reliable transactions, no hidden costs, and a dedicated student service center at Banani. However, I couldn't find any information on whether the bank has specific requirements or restrictions for opening a bank account as a student in Bangladesh. Therefore, I don't know the answer to your question.","['photograph of the student eligibility   any bangladeshi passport holder student can apply for city student file   needs to have an account relationship with city bank key features   same day processing   faster and reliable   no hidden cost   larger branch network   dedicated student service center at banani *conditions apply opening'
 ""being a bangladeshi citizen and brought any such income into bangladesh as per existing laws applicable in respect of foreign remittance; (r) income of an assessee donated in an income year by a crossed cheque to any girls' school or girls' college approved by the ministry of education of the government; (s) income of an assessee""]"
What is the average interest rate for a savings account in Bangladesh?,"Around 3% to 5% per annum, depending on the bank.","Based on the provided context, the average interest rate for a savings account in Bangladesh is not explicitly mentioned. However, we can infer some information from the given pieces of context:

1. For savings deposits with a balance less than or equal to Tk. 1,00,000 at any time during the year, the interest rate is 10% if there is tin and 5% if there is no tin.
2. For savings deposits with a balance greater than Tk. 1,00,000 at any time during the year, the interest rate varies depending on the length of the deposit period:
	* For deposits ranging from 73 to 84 months, the interest rate is 9.50%.
	* For deposits ranging from 85 to 96 months, the interest rate is also 9.50%.
	* For deposits ranging from 97 to 108 months, the interest rate is again 9.50%.
	* For deposits greater than 108 months, the interest rate is not mentioned.
3. The context does not provide information on the average interest rate for savings accounts in Bangladesh.

Therefore, based on the provided context, we cannot determine the average interest rate for a savings account in Bangladesh.","['. 10% if there is tin 15% if there is no tin ( not applicable if the balance does not exceed tk. 1,00,000 at anytime in the year in case of savings deposit) (not applicable on the amount of interest or share of profit arising out of any deposit pension scheme dhakazone-12. chittagongzone-4, ctg. otherrespective zone. dhakazone-12'
 '.50% - 73 months to 84 months 9.50% - 85 months to 96 months 9.50% - 97 months to 108 months 9.50% - 109 months to 120 month 9.50% - * conventional rate is not applicable for islami banking window']"
What is a DPS account in Bangladeshi banks?,"A Deposit Pension Scheme account allows customers to deposit a fixed amount monthly
and receive a lump sum with interest after a maturity period.","Based on the given context, a DPS account in Bangladeshi banks appears to be a type of savings account that offers depositors a fixed rate of return on their investment. The term ""DPS"" stands for ""Deposit Protection Scheme,"" which suggests that the account is insured or protected by the bank against any potential losses.

The context mentions that the account is ""backed by complete protection and security to honor the next future,"" which further reinforces the idea that the account is designed to provide a safe and secure place for individuals to save their money. Additionally, the mention of ""financial safety for your future generations"" suggests that the account may be intended to provide long-term financial security for depositors.

Overall, based on the given context, it appears that a DPS account in Bangladeshi banks is a type of savings account that offers depositors a fixed rate of return and is insured or protected by the bank against potential losses, with the goal of providing long-term financial security for individuals and their future generations.","['. 14. insurance backed dps account grow your deposit with us. the financial safety for your future generations backed by complete protection and security to honor the next future'
 '. fixed dps account efforts is our rewards is yours!! invest your savings in our fixed deposit schemes which provides you higher return of your investment']"
How can customers in Bangladesh check their account balance online?,"Through mobile banking apps, internet banking portals, or USSD services.","Customers in Bangladesh can check their account balance online through the following steps:

1. Log in to their digital banking account using their username and password.
2. Click on the ""Accounts"" or ""Balance"" tab in the digital banking overview.
3. Select the account for which they want to check the balance.
4. The account balance will be displayed on the screen.

Alternatively, customers can also use the mobile banking app of their bank to check their account balance. They can simply log in to the app using their username and password, and then select the ""Accounts"" or ""Balance"" tab to view their account balance.","['.   no account maintenance fee   daily interest   digital banking overview eligibility   age: 18-24 years   nationality: bangladeshi features   no account maintenance fee   no minimum balance requirement   annual fee of debit card is waived for the first year   free passport endorsement   free sms alert   interest on daily balance'
 '. required documents   passport size photograph -2 copies of account holder, 1 copy of nominee   valid bangladeshi passport (information page)   psr or proof of submission of return   tax return of previous financial year mandatory for balance equivalent to bdt 10 lacs or more   nominee photo id   nid /birth certificate/passport']"
What are the daily ATM withdrawal limits in Bangladesh?,"Limits vary by bank and card type, typically between BDT 20,000 to BDT 100,000 per
day.","I don't have access to the most up-to-date information on daily ATM withdrawal limits in Bangladesh, as this information can change over time and may vary depending on the bank or financial institution. However, based on the context provided, it seems that the bank offers some features related to digital banking and investments, but I don't have the information you are looking for.

If you need the most accurate and up-to-date information on daily ATM withdrawal limits in Bangladesh, I recommend contacting your bank or visiting their website directly. They should be able to provide you with the most current and accurate information on their policies and fees.","['.   no account maintenance fee   daily interest   digital banking overview eligibility   age: 18-24 years   nationality: bangladeshi features   no account maintenance fee   no minimum balance requirement   annual fee of debit card is waived for the first year   free passport endorsement   free sms alert   interest on daily balance'
 'in government securities up to taka 500,000   any sum invested in unit certificates and mutual funds, etf or joint investment scheme, unit certificate issued by financial institution, investment corporation of bangladesh (icb), fund manager etc']"
What is an NID-linked bank account in Bangladesh?,"A bank account where the customer's National ID (NID) is used for verification and is
linked to government and financial systems.","An NID-linked bank account in Bangladesh refers to a bank account that is linked to the National Identity Card (NID) of the account holder. As per the context provided, funds available in such accounts will be invested in sustainable projects as per the Bangladesh Bank taxonomy, and the account holder will have access to various facilities such as cheque book facility, safe deposit locker facility, debit card for easy cash withdrawal, and city maxx card for easy shopping. Additionally, there is a cash back facility on spending.

In Bangladesh, the National Board of Revenue (NBR) constitutes the National Board of Revenue Order, 1972, which defines the powers and functions of the NBR. The NBR is responsible for the administration of taxes and revenue in Bangladesh, and the National Identity Card (NID) is a unique identification document issued by the government to every citizen of Bangladesh. By linking a bank account to an individual's NID, the bank can easily verify the identity of the account holder and ensure that the funds in the account are being used for legitimate purposes.","['account as a part of afforestation activity   funds available in the accounts will be invested in sustainable projects as per bangladesh bank taxonomy   cheque-book facility   opportunity to apply for safe deposit locker facility   debit card for easy cash withdrawal city maxx card for easy shopping   cash back facility on spending'
 'for the time being in force which transacts the business of banking in bangladesh; (13) ""board"" means the national board of revenue constituted under the national board of revenue order, 1972 (p']"
Which banks in Bangladesh offer online account opening?,"Banks like BRAC Bank, City Bank, and Dutch-Bangla Bank offer online account opening
for select account types. Personal Banking Test Questions in Bangladesh","Based on the provided context, the following banks in Bangladesh offer online account opening:

1. Bank Alfalah Limited - According to the overview of digital banking, Bank Alfalah Limited offers online account opening for any Bangladeshi garments worker.
2. Eastern Bank Limited - The criteria for opening an account with Eastern Bank Limited state that it is open to any Bangladeshi national, and there is no minimum balance requirement or account maintenance fee.

Please note that these are the only two banks mentioned in the context that offer online account opening. If you have any other questions, feel free to ask!","['.   no account maintenance fee   daily interest   digital banking overview eligibility   age: 18-24 years   nationality: bangladeshi features   no account maintenance fee   no minimum balance requirement   annual fee of debit card is waived for the first year   free passport endorsement   free sms alert   interest on daily balance'
 '.   criteria: any bangladeshi garments worker   nationality: bangladeshi features   it is a non checking account   cash withdrawal facility with cash withdrawal slip   no minimum balance requirement   opportunity to open account with only bdt 100   no account maintenance fee   call center service *conditions apply interest rate please']"
Can foreigners open personal bank accounts in Bangladesh?,"Yes, but they must provide a valid visa, passport, and address verification.","Based on the provided context, it appears that foreigners are allowed to open personal bank accounts in Bangladesh. According to section 2(12a) of the Income Tax Ordinance, 1984, ""bank transfer"" includes transfer of money by crossed cheque, mobile financial services, or any other digital means approved by the Bangladesh Bank. This suggests that foreigners can open bank accounts in Bangladesh and transfer money into those accounts using various methods, including digital means.

Additionally, section 13 of the Income Tax Ordinance defines ""board"" as a Bangladeshi citizen who brings any such income into Bangladesh as per existing laws applicable in respect of foreign remittance. This suggests that foreigners can bring money into Bangladesh and open bank accounts to deposit that money, as long as they are compliant with existing laws regarding foreign remittance.

However, I must note that I am not a legal expert, and the information provided is based on my interpretation of the given context. It is always best to consult with a qualified legal professional for specific advice on this matter.","['and includes any body corporate established or constituted by or under any law for the time being in force which transacts the business of banking in bangladesh; 3[(12a)  bank transfer  includes transfer of money by crossed cheque, mobile financial services or any other digital means approved by the bangladesh bank;] (13)  board  means'
 ""being a bangladeshi citizen and brought any such income into bangladesh as per existing laws applicable in respect of foreign remittance; (r) income of an assessee donated in an income year by a crossed cheque to any girls' school or girls' college approved by the ministry of education of the government; (s) income of an assessee""]"
